category,model,model_description,model_name,manufacturer,weight,price
Batteries," INR2170M50L T
","  Lithium 2170 21700 Battery Cell
5000mAh 14.4A  INR2170 M50 L T -
By The Case
We are pleased to offer the much
sought after Lith ...
",Lithium 2170 21700 Battery Cell," : EV West
",: 0.00,$799.00
Batteries," BAT-2.6-
16S
","  Lithium Ion Battery - 60.8V , 2.6kWh
These battery modules have
excellent stability bas ...
","Lithium Ion Battery - 60.8V , 2.6kWh"," :
",: 38.00,$799.00
Batteries," BAT-1.7-7S
","  Lithium Super Cells 1.6 kWh - JH3
63Ah 7S High Power Battery
Module - For T esla Systems
These are brand new, unused
lithium JH3 64Ah batte ...
",Lithium Super Cells 1.6 kWh - JH3," : EV West
",: 20.00,$499.00
Batteries," BAT-3.4-
7S2P
","  Lithium Super Cells 3.2 kWh - JP3
128Ah 2P7S High Power Battery
Module - For T esla Systems
These are brand new, unused
lithium JP3 64Ah batte ...
",Lithium Super Cells 3.2 kWh - JP3," :
",: 40.00,$879.00
Batteries," INR25R
","  Samsung INR 18650 25R Lithium
Battery Cells - By The Case
The Samsung INR-25R is a
popular lithium-ion cell. ...
",Samsung INR 18650 25R Lithium," : Samsung
",: 0.00,$330.00
Batteries," SM-SDI-60
","  Samsung SDI 60Ah Lithium Ion
Battery Cell
This is a fantastic NMC prismatic
cell from Samsun ...
",Samsung SDI 60Ah Lithium Ion," : Samsung
",: 5.00,$59.00
Batteries," ESS-3.5
","  Samsung SDI ESS Energy Storage
Battery 16S 60 V olt - New 3.5 kWh
Rack Mount
This Samsung SDI ESS 3.5
backup battery is a brand ...
",Samsung SDI ESS Energy Storage," : Samsung
",: 110.00,$699.00
Batteries," ESS-7.6
","  Samsung SDI ESS Energy Storage
Battery 22S 80 V olt - New 7.6kWh
This Samsung SDI ESS 7.6
backup battery is a brand ...
",Samsung SDI ESS Energy Storage," : Samsung
",: 140.00,$999.00
Batteries," Tesla MS
",  Tesla ,Tesla," : Tesla
",: 55.00,"$1,580.00"
Batteries," 18650-3
","  $799.00$990.00Tesla Smart Lithium Ion Battery
18650 EV Module - 57 V olt, 3kWh
limited quantity available. Please
email sales@evw ...
",$799.00$990.00Tesla Smart Lithium Ion Battery," : Tesla
",: 42.00,$799.00
BatteryEnclosuresAcc," EVW -
MX150
","  MX150 Bulkhead and Connector -
Battery Box CAN Bus Plug Kit
A bulkhead receptacle and
matching connector paire ...
",MX150 Bulkhead and Connector -," : EV West
",: 1.00,$19.00
BatteryEnclosuresAcc," RP-HVBD
","  Rincon Power HVBD4AXR - 400 A
Continuous - 1000 V olt Max
Hermetically Sealed Disconnect
Switch
Manual locking disconnect for
your traction batter ...
",Rincon Power HVBD4AXR - 400 A," : Rincon
Power
",: 3.00,$159.00
BatteryEnclosuresAcc," EVW -FBB1
","  VW Beetle Front Battery Box - '58-
71
Aluminum Front Battery Box
Height: 6.625 inc ...
",VW Beetle Front Battery Box - '58-," : EV West
",: 20.00,$999.00
BatteryEnclosuresAcc," EVW -RBB1
","  VW Beetle Rear Battery Box - '58-
71
Aluminum Rear Battery Box
Height: 12.50 inch ...
",VW Beetle Rear Battery Box - '58-," : EV West
",: 20.00,$999.00
Chargers," UFC33-
CAN
","  Elcon 3.3kW UF CAN Bus Charger
with EVCC
The UFC3300 is an excellent low
cost solution to h ...
",Elcon 3.3kW UF CAN Bus Charger," : Elcon
",: 19.00,"$1,199.00"
Chargers," ELC1500
","  Elcon PFC1500 Charger
This item has been discontinued
by the manufacture ...
",Elcon PFC1500 Charger," : Elcon
",: 15.00,$569.00
Chargers," MM PFC20-
XM
","  Manzanita Micro PFC 20-XM
Charger
This product is no longer
available through EV Wes ...
",Manzanita Micro PFC 20-XM," : Manzanita
",: 16.00,"$2,390.00"
Chargers," MM PFC30-
XM
","  Manzanita Micro PFC 30-XM
Charger
The PFC-30M is designed to
charge any battery pack ...
",Manzanita Micro PFC 30-XM," : Manzanita
",: 17.20,"$3,320.00"
Chargers," MM PFC40-
XM
","  Manzanita Micro PFC 40-XM
Charger
The PFC-40M is designed to
charge any battery pack ...
",Manzanita Micro PFC 40-XM," : Manzanita
",: 20.00,"$3,650.00"
Charging_Accessories," TS-EVCC3
","  EVCC 3.0 - CAN Bus Charger
Controller by Dilithium Design and
Thunderstruck
The Thunderstruck EVCC (EV
charge controller) crea ...
",EVCC 3.0 - CAN Bus Charger," : Dilithium
BMS
",: 1.00,$320.00
Charging_Accessories," J1772R-V2
","  J1772 32A  Receptacle (Socket
Only) V er. 2 - Self Opening
This J1772 car-side receptacle
comes ready to asse ...
",J1772 32A  Receptacle (Socket," : Chennic
",: 1.00,$89.00
Charging_Accessories," J1772 Pins
","  J1772 32A  Receptical Replacement
Pins
These replacement pins can be a
real life saver if ...
",J1772 32A  Receptical Replacement," : EV West
",: 0.20,$38.00
